Zipcode,Household Income,Population,Median Age,Per Capita Income,Poverty Count
64133,50681.0,35163.0,40.8,26720.0,4690.0
64131,45688.0,22932.0,37.2,30411.0,4021.0
64130,31166.0,19996.0,39.3,21925.0,5238.0
64119,68841.0,27848.0,38.3,33224.0,1785.0
64134,41543.0,23874.0,31.3,20078.0,5507.0
64108,49500.0,7799.0,35.4,39759.0,1590.0
64113,136913.0,11988.0,42.5,73133.0,248.0
64132,36074.0,14817.0,31.6,18374.0,4542.0
64112,74864.0,8352.0,35.7,78107.0,769.0
64146,60667.0,1506.0,42.3,34966.0,93.0
64127,25472.0,15457.0,35.5,16498.0,5473.0
64125,22328.0,1389.0,36.2,14382.0,290.0
64149,116719.0,355.0,50.3,48321.0,9.0
64138,46915.0,26032.0,35.9,24402.0,4334.0
64114,63694.0,24405.0,39.9,40033.0,1669.0
64145,71611.0,5249.0,51.2,41979.0,312.0
64105,59474.0,4679.0,29.8,50084.0,761.0
64123,35290.0,9580.0,33.6,16047.0,2647.0
64110,42550.0,17176.0,30.0,28339.0,3510.0
64137,47324.0,10646.0,31.5,23454.0,1836.0
64155,84614.0,22917.0,36.5,34047.0,909.0
64109,32131.0,9647.0,36.6,24787.0,2201.0
64154,73458.0,10895.0,36.5,39632.0,588.0
64151,71190.0,26777.0,38.0,37519.0,2830.0
64124,26512.0,10626.0,33.0,15125.0,3658.0
64116,49352.0,15576.0,38.9,36730.0,1662.0
64120,34417.0,383.0,35.0,21622.0,71.0
64139,113553.0,2079.0,41.3,44231.0,19.0
64152,88919.0,29231.0,39.6,46684.0,962.0
64129,39396.0,8881.0,35.8,22216.0,1468.0
64158,82739.0,5041.0,32.4,33615.0,240.0
64106,31140.0,9326.0,29.5,23534.0,3294.0
64111,48105.0,17801.0,31.4,35777.0,2691.0
64128,24421.0,11379.0,38.9,15486.0,4012.0
64118,55690.0,42706.0,35.7,27636.0,5711.0
64117,46514.0,14673.0,35.0,22841.0,2530.0
64136,36538.0,2220.0,40.1,33936.0,518.0
64126,20699.0,6148.0,28.0,11217.0,2749.0
64157,112481.0,19918.0,34.4,43358.0,252.0
64156,111000.0,7935.0,35.3,48958.0,216.0
64163,56250.0,748.0,44.9,25425.0,118.0
64153,77874.0,5234.0,37.3,38573.0,331.0
64161,67250.0,300.0,49.3,32376.0,27.0
64147,7622.0,581.0,19.0,3712.0,400.0
64167,158125.0,446.0,48.6,51045.0,0.0
64166,75536.0,285.0,61.9,36354.0,0.0
64165,109844.0,215.0,38.0,31150.0,0.0
64068,71598.0,38439.0,39.1,34261.0,2479.0
64012,64489.0,27190.0,38.6,30379.0,2548.0
64052,43965.0,20297.0,40.9,23206.0,3136.0
64030,44971.0,25150.0,32.8,23066.0,3753.0
